Phayao,3601350.00,3942162.50,3919155.00,4240977.00,4745163.00,4549726.00,4857009.00,4950946.00,5031490.00,5292334.00,22138.90
Phichit,5249677.00,5592792.00,5736235.00,6166739.00,6661517.00,6407939.00,6861618.00,7332644.00,7334728.00,7695029.00,33830.30
Mae Hong Son,1908750.00,2010054.00,2074335.00,2189393.00,2498573.00,2351501.00,2481429.00,2588434.00,2532503.00,2638401.00,9901.50
Kalasin,4933608.00,5293993.00,5379251.00,5882200.00,6517924.00,6703865.00,7130085.00,7332163.30,7163043.00,7414205.00,25718.80
Khon Kaen,31169120.00,33702795.00,34196855.00,36015641.00,39969645.00,40250787.00,43113214.00,43375003.00,44684843.00,46713919.61,146803.30
Chaiyaphum,11487877.00,12531092.00,12723781.00,13694175.00,14898470.00,14735586.00,15653537.00,16183683.00,16357914.00,17033746.00,75143.60
Nakhon Phanom,4739758.00,5047903.00,5027391.00,5522250.00,6007821.00,6043490.00,6354461.00,6503887.00,6578338.00,6956267.00,29390.80
Nakhon Ratchasima,16627818.00,18866844.00,19813942.00,21107689.00,23434761.00,23797564.00,26043797.00,27741611.00,28167194.00,29600432.00,96334.10
Buri Ram,8719471.00,9591691.20,10087423.00,10840880.00,11929074.00,12178086.00,12986410.00,13308236.00,13400700.00,14288529.88,48503.70
Maha Sarakham,6597315.50,7208394.00,7498334.00,8004904.00,9090711.00,9501247.00,10236183.00,11003796.00,10832370.00,11603625.00,31875.80
Yasothon,3409312.00,3577397.00,3749151.00,4013127.00,4398928.00,4369399.32,4559697.00,4672077.00,4641004.00,4908776.00,17469.80
Roi Et,6795439.00,7195349.00,7356275.00,7843390.00,8313755.00,8318309.00,8481191.00,8435932.77,8751474.00,9266670.00,33740.70
Loei,5321624.87,5595674.00,5754458.00,6245678.00,6945853.00,7127338.00,8194494.00,8836381.00,8965061.00,8967930.00,32175.00
Si Sa Ket,4503373.00,4405070.00,4716751.49,5099487.00,5683002.00,5854896.00,6258156.00,6793312.00,7150679.00,7587100.00,22522.30
Sakon Nakhon,6168982.00,6626079.00,6802307.00,7421460.00,7956740.00,8302173.00,8984199.00,9260908.00,9253885.00,9980285.00,31460.90
Surin ,8063541.00,9498933.40,9749648.20,10349509.30,11826421.00,12207150.00,13011922.00,13376835.00,13484265.00,14030123.00,40679.30
Nong Khai,5684302.00,6124565.00,6200531.00,6660752.00,7198652.00,7442556.00,7948928.00,8212376.00,6901169.00,7339942.00,29289.90
Nong Bua Lam Phu,1909172.00,2148313.00,2131363.00,2265915.00,2390687.00,2389600.00,2635439.00,2529799.00,2461854.00,2592922.00,11350.00
Udon Thani,18452083.20,19465112.00,19288802.00,20811506.00,21997186.00,21917096.00,23515252.00,24716006.00,24961459.00,26777411.00,83962.90
Ubon Ratchathani,12534397.00,13077283.00,13689314.00,14717197.00,15950696.00,16016634.00,17363961.00,17852141.00,17978548.00,18692782.77,57012.70
Amnat Charoen,1821292.00,1906301.00,2015364.00,2199522.00,2501778.00,2555746.00,2660798.00,2636986.00,2586950.00,2657797.00,11273.20
Mukdahan ,2635922.00,2753705.00,3013908.00,3062880.00,3313796.00,3359024.00,3607548.00,3913663.00,3933547.00,4170152.00,12606.10
